date,chambres_disponibles,chambres_vendues,chiffre_affaires,reservations_7j,vendues_n_1,prix_actuel,annulations_7j,chambres_groupe,chambres_directes,cout_commissions,prix_concurrents,evenement,affluence_evenement,impact_evenement,source_evenement,evenement_n_1,affluence_evenement_n_1,impact_evenement_n_1
"2026-07-19","48","44","6116","8","34","139","1","6","11","310","132","","0","0","","","0","0"
"2026-07-20","48","45","6300","9","35","140","1","7","11","310","132","","0","0","","","0","0"
"2026-07-21","48","46","6486","10","36","141","1","5","11","310","132","","0","0","","","0","0"
"2026-07-22","48","47","6674","7","33","142","1","6","11","310","132","","0","0","","","0","0"
"2026-07-23","48","43","6149","8","34","143","1","7","11","310","132","","0","0","","","0","0"
"2026-07-24","48","44","6336","9","35","144","1","5","11","310","132","","0","0","","","0","0"
"2026-07-25","48","45","6210","10","36","138","1","6","11","310","132","","0","0","","","0","0"
"2026-07-26","48","46","6394","7","33","139","1","7","11","310","132","","0","0","","","0","0"
"2026-07-27","48","47","6580","8","34","140","1","5","11","310","132","","0","0","","","0","0"
"2026-07-28","48","43","6063","9","35","141","1","6","11","310","132","","0","0","","","0","0"
"2026-07-29","48","44","6248","10","36","142","1","7","11","310","132","","0","0","","","0","0"
"2026-07-30","48","45","6435","7","33","143","1","5","11","310","132","","0","0","","","0","0"
"2026-07-31","48","46","6624","8","34","144","1","6","11","310","132","","0","0","","","0","0"
"2026-08-01","48","47","6486","9","35","138","1","7","11","310","132","","0","0","","","0","0"
"2026-08-02","48","43","5977","10","36","139","1","5","11","310","132","","0","0","","","0","0"
"2026-08-03","48","44","6160","7","33","140","1","6","11","310","132","","0","0","","","0","0"
"2026-08-04","48","45","6345","8","34","141","1","7","11","310","132","","0","0","","","0","0"
"2026-08-05","48","46","6532","9","35","142","1","5","11","310","132","","0","0","","","0","0"
"2026-08-06","48","47","6721","10","36","143","1","6","11","310","132","","0","0","","","0","0"
"2026-08-07","48","43","6192","7","33","144","1","7","11","310","132","","0","0","","","0","0"
"2026-08-08","48","44","6072","8","34","138","1","5","11","310","132","","0","0","","","0","0"
