date,chambres_disponibles,chambres_vendues,chiffre_affaires,reservations_7j,vendues_n_1,prix_actuel,annulations_7j,chambres_groupe,chambres_directes,cout_commissions,prix_concurrents,evenement,affluence_evenement,impact_evenement,source_evenement,evenement_n_1,affluence_evenement_n_1,impact_evenement_n_1
"2026-07-19","48","15","1980","1","28","132","1","2","11","310","112","","0","0","","","0","0"
"2026-07-20","48","16","2112","0","29","132","1","2","11","310","112","","0","0","","","0","0"
"2026-07-21","48","17","2244","1","30","132","1","2","11","310","112","","0","0","","","0","0"
"2026-07-22","48","18","2376","0","27","132","1","2","11","310","112","","0","0","","","0","0"
"2026-07-23","48","19","2508","1","28","132","1","2","11","310","112","","0","0","","","0","0"
"2026-07-24","48","14","1848","0","29","132","1","2","11","310","112","","0","0","","","0","0"
"2026-07-25","48","15","1980","1","30","132","1","2","11","310","112","","0","0","","","0","0"
"2026-07-26","48","16","2112","0","27","132","1","2","11","310","112","","0","0","","","0","0"
"2026-07-27","48","17","2244","1","28","132","1","2","11","310","112","","0","0","","","0","0"
"2026-07-28","48","18","2376","0","29","132","1","2","11","310","112","","0","0","","","0","0"
"2026-07-29","48","19","2508","1","30","132","1","2","11","310","112","","0","0","","","0","0"
"2026-07-30","48","14","1848","0","27","132","1","2","11","310","112","","0","0","","","0","0"
"2026-07-31","48","15","1980","1","28","132","1","2","11","310","112","","0","0","","","0","0"
"2026-08-01","48","16","2112","0","29","132","1","2","11","310","112","","0","0","","","0","0"
"2026-08-02","48","17","2244","1","30","132","1","2","11","310","112","","0","0","","","0","0"
"2026-08-03","48","18","2376","0","27","132","1","2","11","310","112","","0","0","","","0","0"
"2026-08-04","48","19","2508","1","28","132","1","2","11","310","112","","0","0","","","0","0"
"2026-08-05","48","14","1848","0","29","132","1","2","11","310","112","","0","0","","","0","0"
"2026-08-06","48","15","1980","1","30","132","1","2","11","310","112","","0","0","","","0","0"
"2026-08-07","48","16","2112","0","27","132","1","2","11","310","112","","0","0","","","0","0"
"2026-08-08","48","17","2244","1","28","132","1","2","11","310","112","","0","0","","","0","0"
