date,chambres_disponibles,chambres_vendues,chiffre_affaires,reservations_7j,vendues_n_1,prix_actuel,annulations_7j,chambres_groupe,chambres_directes,cout_commissions,prix_concurrents,evenement,affluence_evenement,impact_evenement,source_evenement,evenement_n_1,affluence_evenement_n_1,impact_evenement_n_1
"2026-07-19","48","31","4402","5","30","142","1","2","11","310","139","Festival international des arts","12500","92","CSV","","0","0"
"2026-07-20","48","32","4544","6","31","142","1","2","11","310","139","Festival international des arts","12500","92","CSV","","0","0"
"2026-07-21","48","33","4686","4","29","142","1","2","11","310","139","Festival international des arts","12500","92","CSV","","0","0"
"2026-07-22","48","34","4828","5","30","142","1","2","11","310","139","Festival international des arts","12500","92","CSV","","0","0"
"2026-07-23","48","30","4260","6","31","142","1","2","11","310","139","Festival international des arts","12500","92","CSV","","0","0"
"2026-07-24","48","31","4402","4","29","142","1","2","11","310","139","Festival international des arts","12500","92","CSV","","0","0"
"2026-07-25","48","32","4544","5","30","142","1","2","11","310","139","Festival international des arts","12500","92","CSV","","0","0"
"2026-07-26","48","33","4686","6","31","142","1","2","11","310","139","Festival international des arts","12500","92","CSV","","0","0"
"2026-07-27","48","34","4828","4","29","142","1","2","11","310","139","Festival international des arts","12500","92","CSV","","0","0"
"2026-07-28","48","30","4260","5","30","142","1","2","11","310","139","Festival international des arts","12500","92","CSV","","0","0"
"2026-07-29","48","31","4402","6","31","142","1","2","11","310","139","Festival international des arts","12500","92","CSV","","0","0"
"2026-07-30","48","32","4544","4","29","142","1","2","11","310","139","Festival international des arts","12500","92","CSV","","0","0"
"2026-07-31","48","33","4686","5","30","142","1","2","11","310","139","Festival international des arts","12500","92","CSV","","0","0"
"2026-08-01","48","34","4828","6","31","142","1","2","11","310","139","Festival international des arts","12500","92","CSV","","0","0"
"2026-08-02","48","30","4260","4","29","142","1","2","11","310","139","Festival international des arts","12500","92","CSV","","0","0"
"2026-08-03","48","31","4402","5","30","142","1","2","11","310","139","Festival international des arts","12500","92","CSV","","0","0"
"2026-08-04","48","32","4544","6","31","142","1","2","11","310","139","Festival international des arts","12500","92","CSV","","0","0"
"2026-08-05","48","33","4686","4","29","142","1","2","11","310","139","Festival international des arts","12500","92","CSV","","0","0"
"2026-08-06","48","34","4828","5","30","142","1","2","11","310","139","Festival international des arts","12500","92","CSV","","0","0"
"2026-08-07","48","30","4260","6","31","142","1","2","11","310","139","Festival international des arts","12500","92","CSV","","0","0"
"2026-08-08","48","31","4402","4","29","142","1","2","11","310","139","Festival international des arts","12500","92","CSV","","0","0"
