date,chambres_disponibles,chambres_vendues,chiffre_affaires,reservations_7j,vendues_n_1,prix_actuel,annulations_7j,chambres_groupe,chambres_directes,cout_commissions,prix_concurrents,evenement,affluence_evenement,impact_evenement,source_evenement,evenement_n_1,affluence_evenement_n_1,impact_evenement_n_1
"2026-07-19","48","51","7956","9","41","156","1","9","11","310","148","","0","0","","","0","0"
"2026-07-20","48","52","8112","10","41","156","1","9","11","310","148","","0","0","","","0","0"
"2026-07-21","48","53","8268","11","41","156","1","9","11","310","148","","0","0","","","0","0"
"2026-07-22","48","54","8424","8","41","156","1","9","11","310","148","","0","0","","","0","0"
"2026-07-23","48","50","7800","9","41","156","1","9","11","310","148","","0","0","","","0","0"
"2026-07-24","48","51","7956","10","41","156","1","9","11","310","148","","0","0","","","0","0"
"2026-07-25","48","52","8112","11","41","156","1","9","11","310","148","","0","0","","","0","0"
"2026-07-26","48","53","8268","8","41","156","1","9","11","310","148","","0","0","","","0","0"
"2026-07-27","48","54","8424","9","41","156","1","9","11","310","148","","0","0","","","0","0"
"2026-07-28","48","50","7800","10","41","156","1","9","11","310","148","","0","0","","","0","0"
"2026-07-29","48","51","7956","11","41","156","1","9","11","310","148","","0","0","","","0","0"
"2026-07-30","48","52","8112","8","41","156","1","9","11","310","148","","0","0","","","0","0"
"2026-07-31","48","53","8268","9","41","156","1","9","11","310","148","","0","0","","","0","0"
"2026-08-01","48","54","8424","10","41","156","1","9","11","310","148","","0","0","","","0","0"
"2026-08-02","48","50","7800","11","41","156","1","9","11","310","148","","0","0","","","0","0"
"2026-08-03","48","51","7956","8","41","156","1","9","11","310","148","","0","0","","","0","0"
"2026-08-04","48","52","8112","9","41","156","1","9","11","310","148","","0","0","","","0","0"
"2026-08-05","48","53","8268","10","41","156","1","9","11","310","148","","0","0","","","0","0"
"2026-08-06","48","54","8424","11","41","156","1","9","11","310","148","","0","0","","","0","0"
"2026-08-07","48","50","7800","8","41","156","1","9","11","310","148","","0","0","","","0","0"
"2026-08-08","48","51","7956","9","41","156","1","9","11","310","148","","0","0","","","0","0"
