date,chambres_disponibles,chambres_vendues,chiffre_affaires,reservations_7j,vendues_n_1,prix_actuel,annulations_7j,chambres_groupe,chambres_directes,cout_commissions,prix_concurrents,evenement,affluence_evenement,impact_evenement,source_evenement,evenement_n_1,affluence_evenement_n_1,impact_evenement_n_1
"2026-07-19","48","18","2088","2","19","116","6","2","11","310","108","","0","0","","","0","0"
"2026-07-20","48","19","2204","2","20","116","7","2","11","310","108","","0","0","","","0","0"
"2026-07-21","48","20","2320","2","21","116","8","2","11","310","108","","0","0","","","0","0"
"2026-07-22","48","17","1972","2","18","116","5","2","11","310","108","","0","0","","","0","0"
"2026-07-23","48","18","2088","2","19","116","6","2","11","310","108","","0","0","","","0","0"
"2026-07-24","48","19","2204","2","20","116","7","2","11","310","108","","0","0","","","0","0"
"2026-07-25","48","20","2320","2","21","116","8","2","11","310","108","","0","0","","","0","0"
"2026-07-26","48","17","1972","2","18","116","5","2","11","310","108","","0","0","","","0","0"
"2026-07-27","48","18","2088","2","19","116","6","2","11","310","108","","0","0","","","0","0"
"2026-07-28","48","19","2204","2","20","116","7","2","11","310","108","","0","0","","","0","0"
"2026-07-29","48","20","2320","2","21","116","8","2","11","310","108","","0","0","","","0","0"
"2026-07-30","48","17","1972","2","18","116","5","2","11","310","108","","0","0","","","0","0"
"2026-07-31","48","18","2088","2","19","116","6","2","11","310","108","","0","0","","","0","0"
"2026-08-01","48","19","2204","2","20","116","7","2","11","310","108","","0","0","","","0","0"
"2026-08-02","48","20","2320","2","21","116","8","2","11","310","108","","0","0","","","0","0"
"2026-08-03","48","17","1972","2","18","116","5","2","11","310","108","","0","0","","","0","0"
"2026-08-04","48","18","2088","2","19","116","6","2","11","310","108","","0","0","","","0","0"
"2026-08-05","48","19","2204","2","20","116","7","2","11","310","108","","0","0","","","0","0"
"2026-08-06","48","20","2320","2","21","116","8","2","11","310","108","","0","0","","","0","0"
"2026-08-07","48","17","1972","2","18","116","5","2","11","310","108","","0","0","","","0","0"
"2026-08-08","48","18","2088","2","19","116","6","2","11","310","108","","0","0","","","0","0"
