date,chambres_disponibles,chambres_vendues,chiffre_affaires,reservations_7j,vendues_n_1,prix_actuel,annulations_7j,chambres_groupe,chambres_directes,cout_commissions,prix_concurrents,evenement,affluence_evenement,impact_evenement,source_evenement,evenement_n_1,affluence_evenement_n_1,impact_evenement_n_1
"2026-07-19","48","29","3538","3","28","122","1","2","11","310","120","","0","0","","","0","0"
"2026-07-20","48","30","3690","2","29","123","1","2","11","310","120","","0","0","","","0","0"
"2026-07-21","48","28","3472","3","27","124","1","2","11","310","120","","0","0","","","0","0"
"2026-07-22","48","29","3509","2","28","121","1","2","11","310","120","","0","0","","","0","0"
"2026-07-23","48","30","3660","3","29","122","1","2","11","310","120","","0","0","","","0","0"
"2026-07-24","48","28","3444","2","27","123","1","2","11","310","120","","0","0","","","0","0"
"2026-07-25","48","29","3596","3","28","124","1","2","11","310","120","","0","0","","","0","0"
"2026-07-26","48","30","3630","2","29","121","1","2","11","310","120","","0","0","","","0","0"
"2026-07-27","48","28","3416","3","27","122","1","2","11","310","120","","0","0","","","0","0"
"2026-07-28","48","29","3567","2","28","123","1","2","11","310","120","","0","0","","","0","0"
"2026-07-29","48","30","3720","3","29","124","1","2","11","310","120","","0","0","","","0","0"
"2026-07-30","48","28","3388","2","27","121","1","2","11","310","120","","0","0","","","0","0"
"2026-07-31","48","29","3538","3","28","122","1","2","11","310","120","","0","0","","","0","0"
"2026-08-01","48","30","3690","2","29","123","1","2","11","310","120","","0","0","","","0","0"
"2026-08-02","48","28","3472","3","27","124","1","2","11","310","120","","0","0","","","0","0"
"2026-08-03","48","29","3509","2","28","121","1","2","11","310","120","","0","0","","","0","0"
"2026-08-04","48","30","3660","3","29","122","1","2","11","310","120","","0","0","","","0","0"
"2026-08-05","48","28","3444","2","27","123","1","2","11","310","120","","0","0","","","0","0"
"2026-08-06","48","29","3596","3","28","124","1","2","11","310","120","","0","0","","","0","0"
"2026-08-07","48","30","3630","2","29","121","1","2","11","310","120","","0","0","","","0","0"
"2026-08-08","48","28","3416","3","27","122","1","2","11","310","120","","0","0","","","0","0"
